id,name,birthDate,filmography,biography
d01,Bong Joon-ho,1974-02-27,"Parasite, Snowpiercer, Okja","Bong Joon-ho is a South Korean filmmaker known for his genre-defying films that often blend social commentary with dark humor. He gained international acclaim with 'Parasite', which won the Academy Award for Best Picture in 2020."
d02,Christopher Nolan,1974-02-27,"Inception, The Dark Knight, Interstellar","Christopher Nolan is a British-American director, producer, and screenwriter known for his complex narratives and innovative storytelling techniques. His films often explore themes of time, memory, and identity."
d03,Steven Spielberg,1980-04-23,"Schindler's List, E.T. the Extra-Terrestrial, Jurassic Park","Steven Spielberg is an American film director, producer, and screenwriter, widely regarded as one of the most influential filmmakers in the history of cinema. His works encompass a wide range of genres and themes, often focusing on human experiences"
d04,Jean-Pierre Jeunet,1974-02-27,"Amélie, Delicatessen, A Very Long Engagement","Jean-Pierre Jeunet is a French film director, screenwriter, and producer known for his visually distinctive films that often feature whimsical and fantastical elements. He is best known for 'Amélie', which became a global sensation."
d05,Francis Ford Coppola,1980-04-23,"The Godfather, Apocalypse Now, The Conversation","Francis Ford Coppola is an American film director, producer, and screenwriter, best known for his epic crime drama 'The Godfather' trilogy. His work has had a profound impact on the film industry, particularly in the 1970s."
d06,Hayao Miyazaki,1963-06-14,"Spirited Away, My Neighbor Totoro, Princess Mononoke","Hayao Miyazaki is a Japanese film director, producer, screenwriter, and co-founder of Studio Ghibli. He is renowned for his animated films that often feature strong..."
d07,Sidney Lumet,1963-06-14,"Gloria, Dog Day Afternoon, 12 Angry","Sidney Arthur Lumet was an American film director, producer, and screenwriter. He is best known for his work in the 1970s and 1980s, particularly for films that explore social issues and moral dilemmas."
d08,Guillermo del Toro,1974-02-27,"Pan's Labyrinth, The Shape of Water, Crimson Peak","Guillermo del Toro is a Mexican filmmaker, author, and visual artist known for his imaginative and visually stunning films that often blend fantasy and horror. He won the Academy Award for Best Director for 'The Shape of Water'."
d09,Wes Anderson,1963-06-14,"The Grand Budapest Hotel, Moonrise Kingdom, Isle of Dogs","American filmmaker known for his distinctive visual and narrative style, characterized by meticulous composition, vibrant color palettes, and quirky characters. His films often explore themes of family, nostalgia, and the absurdities of life."
d10,Federico Fellini,1980-04-23,"La Dolce Vita, 8eMezzo, Amarcord","Federico Fellini was an Italian film director and screenwriter known for his distinctive style that blends fantasy and baroque imagery. His films often explore themes of memory, dreams, and the human condition."
d11,Fernando Meirelles,1974-02-27,"City of God, The Constant Gardener, Blindness","Fernando Meirelles is a Brazilian film director, producer, and screenwriter known for his powerful storytelling and visual style. He gained international acclaim with 'City of God', which depicts the harsh realities of life in Rio de Janeiro's favelas."
d12,Michael Curtiz,1974-02-27,"Casablanca, The Adventures of Robin Hood, Yankee Doodle Dandy","Michael Curtiz was a Hungarian-American film director known for his versatility and prolific output. He directed numerous classic films, including the iconic 'Casablanca', which remains one of the most beloved films in cinema history."
d13,Peter Jackson,1980-04-23,"The Lord of the Rings: The Fellowship of the Ring, The Hobbit: An Unexpected Journey, King Kong","Peter Jackson is a New Zealand film director, producer, and screenwriter best known for his adaptation of J.R.R. Tolkien's 'The Lord of the Rings' trilogy. His epic storytelling and groundbreaking visual effects have left a lasting impact on the fantasy genre."
d14,Lana Wachowski,1974-02-27,"The Matrix, Cloud Atlas, Jupiter Ascending","Lana Wachowski is an American film director, producer, and screenwriter known for her work in the science fiction genre. She is best known for co-directing 'The Matrix' trilogy, which revolutionized visual effects and action sequences in cinema."
d15,Vittorio De Sica,1980-04-23,"Bicycle Thieves, Umberto D., Miracle in Milan","Vittorio De Sica was an Italian film director, actor, and screenwriter, widely regarded as one of the greatest filmmakers in the history of cinema. He was a leading figure in the Italian neorealism movement, known for his poignant and realistic portrayals of everyday life."
d16,Stanley Kubrick,1980-04-23,"2001: A Space Odyssey, A Clockwork Orange, The Shining","Stanley Kubrick was an American film director, producer, and screenwriter known for his meticulous craftsmanship and innovative storytelling. His films often explore complex themes and are characterized by their visual style and attention to detail."
d17,Akira Kurosawa,1974-02-27,"Rashomon, Seven Samurai, Ikiru","Akira Kurosawa was a Japanese film director, producer, screenwriter, and editor, widely regarded as one of the greatest filmmakers in the history of cinema. His films often explore themes of honor, justice, and the human condition, and he is known for his masterful storytelling and visual style."
d18,Charles Chaplin,1963-06-14,"City Lights, Modern Times, The Great Dictator","Charles Chaplin was an English comic actor, filmmaker, and composer who rose to fame in the silent film era. He is best known for his character 'The Tramp', and his films often combine humor with social commentary, addressing issues of poverty and injustice."
d19,Jordan Peele,1963-06-14,"Get Out, Us, Nope","Jordan Peele is an American filmmaker, actor, and comedian known for his work in the horror genre. He gained critical acclaim with his directorial debut 'Get Out', which..."
d20,Barry Jenkins,1974-02-27,"Moonlight, If Beale Street Could Talk, The Underground Railroad","Barry Jenkins is an American filmmaker known for his poignant storytelling and exploration"
